"frist-name","last-name","birth-date","state","salary","social-class"
"Maurice","McCullough","22/7/1962","Missouri","6,829.12","A"
"Garland","Ullrich","9/7/1974","Hawaii","10,414.48","A"
"Keneth","Ondricka","7/8/1991","Nebraska","14,854.33","A"
"Breanne","Funk","23/3/1956","North Dakota","1,733.25","A"
"Erasmo","Johnston","16/4/1992","New Hampshire","3,302.67","C"
"Lillie","Lindgren","22/3/1990","Florida","7,725.80","A"
"Demetrius","Zboncak","19/9/1972","Alaska","18,658.87","C"
"Forest","Thompson","7/11/1989","Kentucky","10,324.44","C"
"Derick","McDermott","13/7/1982","Illinois","7,008.27","B"
"Mariko","Jacobs","23/11/1997","Pennsylvania","13,879.48","B"
"Shanice","Yundt","17/1/1965","South Carolina","15,700.12","B"
"Eugene","Torphy","16/2/1983","New York","17,782.78","A"
"Deshawn","Corkery","3/2/1990","Arkansas","9,677.95","B"
"Cortney","Green","2/4/1950","Idaho","19,216.89","A"
"Paul","West","28/5/1971","Hawaii","8,110.39","A"
"Lajuana","Kshlerin","11/9/1994","Delaware","5,329.21","A"
"Angle","Reilly","31/2/1979","Ohio","3,507.64","C"
"Willena","Mueller","25/8/1960","Utah","8,920.68","B"
"Roberto","Hansen","27/11/1998","California","15,887.97","A"
"Minh","Schaden","31/10/1956","Arkansas","5,367.83","B"
"Erik","Heidenreich","31/7/1976","Washington","8,705.79","B"
"Natashia","Runte","5/4/1951","Kentucky","15,209.45","B"
"Dustin","Hackett","13/11/1966","Utah","4,404.61","A"
"Wilfredo","Daniel","3/9/1959","Illinois","19,042.29","A"
"Tracy","Auer","30/11/1950","New Mexico","4,899.77","A"
"Cleo","Konopelski","9/1/1959","Georgia","13,423.43","C"
"Tabatha","Wisozk","16/2/1983","Arkansas","14,107.27","A"
"King","Lind","24/7/1991","Hawaii","17,379.76","B"
"Nelson","Wiza","17/10/1965","Nebraska","19,444.79","C"
"Rolf","Fisher","10/2/1978","New Jersey","1,311.05","C"
"Rosalba","Schamberger","8/4/1962","New Hampshire","11,964.17","C"
"Karan","Marquardt","5/8/1979","Virginia","18,146.69","B"
"Hollis","Leffler","26/7/1997","New Hampshire","17,401.72","A"
"Song","MacGyver","4/6/1973","Hawaii","11,103.16","C"
"Chia","Ledner","2/8/1972","Texas","19,723.95","A"
"Sage","Mann","7/1/1964","New Jersey","4,488.50","A"
"Adriane","Goyette","29/8/1974","Montana","3,015.82","B"
"Analisa","Harris","11/6/1975","Indiana","3,331.38","B"
"Antione","Wehner","4/9/1962","Montana","15,418.81","B"
"Truman","Becker","21/3/1954","New Hampshire","4,967.73","C"
"Arnulfo","O'Reilly","31/5/1977","Nebraska","11,937.38","B"
"Mitch","Kozey","3/10/1981","New Mexico","9,811.17","A"
"Selma","Senger","30/10/1972","South Carolina","17,748.83","B"
"Virgil","Effertz","15/2/1952","Illinois","11,750.72","B"
"Anjelica","Kohler","9/5/1979","Texas","12,178.16","B"
"Katherina","Haag","14/6/1969","North Dakota","10,767.63","B"
"Andrew","Bernhard","20/11/1973","Maryland","19,034.20","A"
"Paul","Green","23/6/1951","Idaho","6,422.27","B"
"Roderick","Feest","26/2/1964","Missouri","18,894.49","B"
"Tyler","Hessel","10/9/1980","Idaho","1,733.70","C"
"Darrin","Douglas","9/9/1969","Florida","14,315.88","B"
